part,company,country,city,price,date,currency_name,price_amount,currency_symbol,exchange_rate_to_USD,standardized_USD
54868-5165,Chatterbridge,Spain,Barcelona,784.79€,2016-01-02 00:01:05,EUR,784.79,€,1.0887,854.4008729999999
60505-2867,Lajo,Greece,Thessaloniki,187.99€,2016-01-02 00:05:26,EUR,187.99,€,1.0887,204.664713
24385-268,Flipstorm,Greece,Athens,221.73€,2016-01-02 00:18:30,EUR,221.73,€,1.0887,241.397451
76117-001,Twitterbeat,France,Annecy,1075.82€,2016-01-02 02:32:30,EUR,1075.82,€,1.0887,1171.245234
44946-1046,Chatterbridge,Spain,Barcelona,412.55€,2016-01-02 04:51:55,EUR,412.55,€,1.0887,449.143185
16729-167,Chatterbridge,Spain,Barcelona,359.52€,2016-01-02 07:20:59,EUR,359.52,€,1.0887,391.409424
52125-444,Voomm,France,Paris,266.62€,2016-01-02 07:40:37,EUR,266.62,€,1.0887,290.269194
43419-018,Buzzbean,Germany,Düsseldorf,103.45€,2016-01-02 08:57:57,EUR,103.45,€,1.0887,112.62601500000001
54092-515,Zooxo,United Kingdom,London,£704.94,2016-01-02 09:09:01,GBP,704.94,£,1.483343552,1045.66820354688
24286-1562,Lajo,Greece,Thessaloniki,317.65€,2016-01-02 11:01:32,EUR,317.65,€,1.0887,345.82555499999995
49035-530,Flipstorm,Greece,Athens,841.97€,2016-01-02 12:51:30,EUR,841.97,€,1.0887,916.652739
36987-1697,Brainsphere,Portugal,Braga,830.75€,2016-01-02 13:16:45,EUR,830.75,€,1.0887,904.437525
44946-1046,Flipstorm,France,Nanterre,406.4€,2016-01-02 16:34:14,EUR,406.4,€,1.0887,442.44768
51346-145,Flipstorm,Greece,Athens,978.51€,2016-01-02 17:45:54,EUR,978.51,€,1.0887,1065.303837
51138-049,Flipstorm,France,Nanterre,504.69€,2016-01-02 17:46:50,EUR,504.69,€,1.0887,549.456003
0268-6107,Thoughtmix,Portugal,Amadora,477.71€,2016-01-02 18:52:45,EUR,477.71,€,1.0887,520.0828769999999
51523-002,Flipstorm,Greece,Athens,1041.56€,2016-01-02 20:28:56,EUR,1041.56,€,1.0887,1133.9463719999999
62670-4404,Wordify,United States,New York,$444.15,2016-01-02 21:10:19,USD,444.15,$,1.0,444.15
49288-0285,Brainsphere,Portugal,Braga,598.52€,2016-01-02 22:18:14,EUR,598.52,€,1.0887,651.6087239999999
68233-011,Chatterbridge,Spain,Barcelona,304.59€,2016-01-03 00:19:44,EUR,304.59,€,1.0887,331.607133
49349-471,Voomm,France,Paris,842.93€,2016-01-03 00:40:03,EUR,842.93,€,1.0887,917.6978909999999
67544-356,Zooxo,United Kingdom,London,£602.37,2016-01-03 00:49:00,GBP,602.37,£,1.483343552,893.52165541824
55700-014,Flipstorm,Greece,Athens,687.46€,2016-01-03 02:33:24,EUR,687.46,€,1.0887,748.4377020000001
98132-889,Buzzbean,Germany,Düsseldorf,272.06€,2016-01-03 06:16:54,EUR,272.06,€,1.0887,296.191722
17156-617,Flipstorm,Greece,Athens,1148.38€,2016-01-03 07:35:36,EUR,1148.38,€,1.0887,1250.2413060000001
49348-574,Flipstorm,Greece,Athens,367.48€,2016-01-03 08:58:12,EUR,367.48,€,1.0887,400.07547600000004
76454-100,Teklist,Netherlands,Arnhem,166.29€,2016-01-03 09:35:27,EUR,166.29,€,1.0887,181.039923
76117-001,Thoughtmix,Portugal,Amadora,1146.85€,2016-01-03 10:48:11,EUR,1146.85,€,1.0887,1248.5755949999998
54868-5165,Teklist,Netherlands,Arnhem,980.37€,2016-01-03 10:48:12,EUR,980.37,€,1.0887,1067.328819
67544-356,Flipstorm,France,Nanterre,680.67€,2016-01-03 11:41:15,EUR,680.67,€,1.0887,741.045429
70253-307,Avaveo,France,Nice,1029.92€,2016-01-03 11:53:31,EUR,1029.92,€,1.0887,1121.2739040000001
62756-707,Ntags,Portugal,Lisbon,322.45€,2016-01-03 13:12:09,EUR,322.45,€,1.0887,351.051315
0268-1604,Innojam,Netherlands,Amsterdam,157.22€,2016-01-03 13:48:28,EUR,157.22,€,1.0887,171.165414
41163-428,Thoughtmix,Portugal,Amadora,120.64€,2016-01-03 16:16:24,EUR,120.64,€,1.0887,131.340768
62011-0219,Flipstorm,Greece,Athens,759.9€,2016-01-03 17:55:17,EUR,759.9,€,1.0887,827.30313
54868-0823,Thoughtmix,Portugal,Amadora,163.6€,2016-01-03 19:48:44,EUR,163.6,€,1.0887,178.11132
68462-565,Flipstorm,France,Nanterre,857.94€,2016-01-03 20:19:49,EUR,857.94,€,1.0887,934.0392780000001
61398-0828,Flipstorm,Greece,Athens,508.48€,2016-01-03 22:11:05,EUR,508.48,€,1.0887,553.582176
52343-025,Shufflebeat,Portugal,Porto,843.78€,2016-01-03 22:12:57,EUR,843.78,€,1.0887,918.623286
54473-578,Zoonder,United States,Boston,$199.56,2016-01-03 22:21:29,USD,199.56,$,1.0,199.56
51079-947,Zoonder,United States,Boston,$637.13,2016-01-03 22:43:31,USD,637.13,$,1.0,637.13
37205-992,Shufflebeat,Portugal,Porto,552.41€,2016-01-03 23:41:02,EUR,552.41,€,1.0887,601.408767
51079-947,Flipstorm,France,Nanterre,620.92€,2016-01-04 00:04:00,EUR,620.92,€,1.0898,676.678616
49349-471,Flipstorm,Greece,Athens,766.23€,2016-01-04 00:32:01,EUR,766.23,€,1.0898,835.0374540000001
16714-295,Brainsphere,Portugal,Braga,712.31€,2016-01-04 01:07:00,EUR,712.31,€,1.0898,776.275438
54868-0823,Flipstorm,Greece,Athens,183.81€,2016-01-04 01:15:56,EUR,183.81,€,1.0898,200.31613800000002
16729-167,Voomm,France,Paris,458.77€,2016-01-04 01:46:04,EUR,458.77,€,1.0898,499.967546
68462-565,Shufflebeat,Portugal,Porto,778.08€,2016-01-04 04:39:44,EUR,778.08,€,1.0898,847.9515840000001
